id_pedido,data_pedido,categoria,preco,custo_produto,quantidade,metodo_pagamento,dias_de_entrega,retornou,total,frete,idade_do_cliente,nota_avaliacao,estado
O129292,2025-09-10,Vestuário,332.9,149.48,1,Boleto,4,Não,316.25,13.78,43,5,SP
O129493,2025-09-10,Alimentos,53.39,23.67,1,Cartão de Crédito,6,Não,53.39,8.18,41,5,SC
O130149,2025-09-10,Eletrônicos,294.92,186.1,1,Pix,10,Sim,265.43,11.49,18,3,BA
O130335,2025-09-10,Beleza,52.6,27.21,1,Pix,2,Não,47.34,5.27,27,5,MG
O130696,2025-09-10,Vestuário,169.1,59.07,1,Pix,10,Não,169.1,11.91,28,1,BA
O131653,2025-09-10,Moradia,523.82,338.55,4,Boleto,3,Não,1990.52,15.01,34,5,MG
O133211,2025-09-10,Vestuário,62.83,30.71,1,Cartão de Débito,1,Não,59.69,8.17,42,5,MG
O133986,2025-09-10,Vestuário,163.84,75.09,1,Pix,3,Não,155.65,6.32,39,5,RJ
O100794,2025-09-09,Vestuário,150.96,86.9,5,Cartão de Crédito,2,Não,679.32,13.69,26,4,SP
O100884,2025-09-09,Vestuário,14.36,8.98,4,Pix,1,Não,57.44,5.58,22,5,SP
O101789,2025-09-09,Brinquedos,09.08,2.82,1,Pix,3,Não,09.08,6.48,28,5,SP
O102090,2025-09-09,Vestuário,40.35,23.6,1,Pix,6,Não,40.35,6.34,28,5,PR
O102944,2025-09-09,Vestuário,32.46,21.94,1,Boleto,2,Não,25.97,7.15,39,5,SP
O102955,2025-09-09,Eletrônicos,186.38,124.37,2,Pix,2,Não,354.12,12.68,49,5,MG
O103968,2025-09-09,Eletrônicos,1300.24,805.65,3,Pix,8,Não,3510.65,11.63,18,4,PA
O103972,2025-09-09,Vestuário,21.05,10.57,1,Cartão de Débito,3,Não,20.0,1.66,29,5,SP
O104621,2025-09-09,Alimentos,71.41,38.33,1,Pix,4,Não,71.41,8.85,60,5,RJ
O105312,2025-09-09,Esportes,473.05,235.87,1,Cartão de Crédito,11,Não,425.74,13.21,27,2,BA
O106131,2025-09-09,Eletrônicos,2361.58,759.55,1,Cartão de Crédito,2,Não,2361.58,14.81,37,5,SP
O106317,2025-09-09,Moradia,144.65,93.37,1,Cartão de Crédito,2,Não,144.65,8.61,49,5,SP
O107082,2025-09-09,Esportes,262.87,103.81,1,Cartão de Débito,2,Não,262.87,14.29,27,5,SP
O107416,2025-09-09,Alimentos,22.09,7.65,1,Pix,4,Não,18.78,05.02,46,5,SP
O108391,2025-09-09,Alimentos,44.41,29.78,1,Pix,11,Não,37.75,04.03,31,2,MA
O108464,2025-09-09,Vestuário,115.36,44.59,4,Pix,12,Sim,461.44,12.85,42,2,PE
O108868,2025-09-09,Alimentos,41.99,15.19,1,Cartão de Crédito,4,Não,39.89,04.05,36,5,PR
O109787,2025-09-09,Alimentos,37.25,16.9,1,Cartão de Crédito,5,Não,33.52,4.94,35,5,DF
O112160,2025-09-09,Alimentos,38.57,14.96,4,Cartão de Crédito,7,Não,123.42,9.58,29,4,CE
O113448,2025-09-09,Beleza,7.46,3.17,1,Cartão de Crédito,1,Não,7.46,2.82,46,5,SP
O113563,2025-09-09,Eletrônicos,1720.02,753.77,1,Pix,7,Não,1720.02,13.2,34,5,ES
O114962,2025-09-09,Moradia,136.52,63.03,5,Pix,3,Não,648.47,15.94,34,4,MG
O116076,2025-09-09,Vestuário,184.6,106.83,1,Cartão de Crédito,14,Não,184.6,11.84,30,2,CE
O116990,2025-09-09,Esportes,438.56,147.55,1,Pix,5,Não,438.56,8.3,36,5,ES
O117527,2025-09-09,Eletrônicos,1131.57,685.76,2,Pix,4,Não,2263.14,18.64,23,4,SP
O117791,2025-09-09,Beleza,13.89,9.23,1,Cartão de Débito,3,Não,13.89,5.99,48,5,SP
O118226,2025-09-09,Vestuário,150.78,96.65,2,Pix,2,Não,301.56,9.93,34,5,SP
O118595,2025-09-09,Alimentos,21.34,11.99,1,Cartão de Débito,1,Não,21.34,07.07,46,5,RJ
O119351,2025-09-09,Brinquedos,15.49,9.98,3,Pix,10,Não,46.47,07.02,30,1,PE
O121182,2025-09-09,Beleza,7.62,3.79,1,Cartão de Crédito,8,Não,7.62,1.93,27,4,DF
O122296,2025-09-09,Brinquedos,57.95,32.31,1,Pix,4,Não,52.16,5.38,46,4,SP
O124305,2025-09-09,Brinquedos,215.18,135.54,1,Pix,4,Não,182.9,13.84,24,5,MG
O125387,2025-09-09,Eletrônicos,503.3,273.95,1,Cartão de Crédito,4,Não,503.3,11.9,18,4,RJ
O125785,2025-09-09,Eletrônicos,1235.38,729.35,1,Cartão de Débito,4,Não,1235.38,12.16,18,3,SP
O126229,2025-09-09,Vestuário,238.78,150.71,1,Cartão de Crédito,1,Não,226.84,10.23,38,5,SP
O128696,2025-09-09,Eletrônicos,119.74,46.7,4,Pix,2,Não,455.01,16.88,39,5,SP
O129116,2025-09-09,Vestuário,42.64,28.48,1,Cartão de Crédito,12,Não,42.64,6.23,57,1,PB
O129912,2025-09-09,Vestuário,59.84,30.57,4,Cartão de Débito,5,Não,239.36,13.57,18,5,SP
O130058,2025-09-09,Brinquedos,176.27,62.46,1,Boleto,4,Não,123.39,8.87,47,5,MG
O131327,2025-09-09,Alimentos,136.03,54.07,2,Cartão de Crédito,6,Não,258.46,11.66,31,3,SC
O132668,2025-09-09,Eletrônicos,646.56,316.47,3,Pix,3,Não,1939.68,19.81,40,5,RJ
O133113,2025-09-09,Eletrônicos,1285.06,643.95,1,Cartão de Débito,11,Não,1285.06,15.87,27,1,RO
O133463,2025-09-09,Vestuário,93.25,64.93,1,Boleto,10,Não,93.25,8.52,44,3,AM
O133583,2025-09-09,Vestuário,186.54,58.81,1,Cartão de Crédito,3,Não,167.89,9.81,36,5,SP
O134395,2025-09-09,Eletrônicos,1358.71,501.09,1,Pix,2,Não,1358.71,16.43,41,5,MG
O100896,2025-09-08,Eletrônicos,414.83,153.23,2,Cartão de Crédito,2,Não,829.66,12.63,37,4,SP
O101117,2025-09-08,Eletrônicos,1090.3,416.74,1,Cartão de Débito,3,Não,926.75,9.93,34,5,SP
O101601,2025-09-08,Eletrônicos,166.47,62.86,5,Cartão de Crédito,5,Não,832.35,8.64,48,5,SP
O101951,2025-09-08,Alimentos,32.04,12.74,1,Cartão de Débito,5,Não,30.44,3.54,22,5,RS
O102740,2025-09-08,Moradia,212.54,124.19,1,Boleto,2,Não,212.54,8.86,18,5,MG
O102755,2025-09-08,Vestuário,224.94,76.9,1,Pix,2,Sim,224.94,9.24,29,5,SP
O103628,2025-09-08,Beleza,14.48,05.05,1,Cartão de Crédito,4,Não,13.76,5.6,33,5,SP
O103948,2025-09-08,Alimentos,25.84,11.99,2,Pix,11,Não,41.34,8.44,38,1,PA
O104079,2025-09-08,Alimentos,15.39,7.43,2,Pix,3,Não,30.78,4.46,49,5,SP
O104296,2025-09-08,Brinquedos,58.33,29.95,1,Pix,1,Não,58.33,7.27,45,5,SP
O105114,2025-09-08,Beleza,17.8,10.3,3,Pix,1,Não,53.4,3.51,30,5,MG
O105320,2025-09-08,Beleza,107.98,34.25,1,Boleto,10,Não,107.98,10.38,40,1,AP
O105375,2025-09-08,Esportes,448.46,156.44,2,Pix,3,Não,896.92,12.76,27,5,SP
O105751,2025-09-08,Eletrônicos,395.92,256.71,1,Pix,4,Não,356.33,10.82,18,4,PR
O105981,2025-09-08,Moradia,125.01,67.64,1,Pix,9,Não,125.01,11.97,20,4,BA
O110288,2025-09-08,Alimentos,29.41,10.98,1,Boleto,3,Não,29.41,5.74,40,5,SP
O110604,2025-09-08,Eletrônicos,411.73,250.44,2,Boleto,8,Não,741.11,13.18,32,5,SC
O114004,2025-09-08,Vestuário,134.67,83.26,1,Cartão de Débito,3,Não,107.74,7.89,25,5,RJ
O114222,2025-09-08,Moradia,645.39,360.88,1,Boleto,4,Não,613.12,8.48,25,4,PR
O115426,2025-09-08,Esportes,403.77,156.21,1,Cartão de Crédito,6,Não,363.39,8.76,27,5,PR
O115813,2025-09-08,Alimentos,19.79,6.81,1,Cartão de Crédito,3,Não,18.8,5.27,36,4,MG
O115935,2025-09-08,Vestuário,300.34,162.05,2,Pix,2,Não,600.68,7.56,35,5,SP
O116879,2025-09-08,Brinquedos,16.99,07.01,3,Pix,11,Não,45.87,6.86,30,2,PE
O116886,2025-09-08,Vestuário,14.5,8.55,1,Pix,3,Não,14.5,3.3,36,5,SP
O118281,2025-09-08,Eletrônicos,114.69,37.22,1,Pix,1,Não,114.69,5.4,25,5,SP
O118553,2025-09-08,Beleza,57.66,31.5,1,Cartão de Crédito,3,Não,54.78,4.9,35,4,SP
O119029,2025-09-08,Eletrônicos,277.92,146.21,1,Cartão de Crédito,3,Não,277.92,14.34,57,5,RS
O119507,2025-09-08,Eletrônicos,171.26,96.1,1,Cartão de Débito,4,Sim,171.26,7.34,19,4,PR
O120241,2025-09-08,Alimentos,27.41,17.2,1,Cartão de Crédito,3,Não,27.41,9.69,29,5,SP
O121234,2025-09-08,Vestuário,101.07,49.29,1,Cartão de Débito,4,Não,101.07,12.47,38,4,MG
O121477,2025-09-08,Vestuário,113.66,70.35,1,Cartão de Débito,3,Não,113.66,6.44,31,4,SP
O121712,2025-09-08,Beleza,71.68,30.73,3,Pix,7,Não,204.29,12.29,28,5,PR
O121769,2025-09-08,Eletrônicos,223.44,140.35,1,Pix,4,Sim,223.44,7.66,32,4,SP
O123497,2025-09-08,Esportes,165.22,59.62,1,Cartão de Crédito,5,Não,156.96,8.19,30,4,SC
O124186,2025-09-08,Eletrônicos,632.05,350.46,1,Cartão de Crédito,4,Não,632.05,9.67,30,5,RJ
O124383,2025-09-08,Eletrônicos,554.53,302.18,1,Cartão de Débito,9,Não,554.53,13.36,31,4,PB
O124454,2025-09-08,Eletrônicos,234.53,99.71,1,Cartão de Débito,3,Não,199.35,11.81,40,5,SP
O126882,2025-09-08,Eletrônicos,2360.73,1299.87,1,Boleto,2,Não,1888.58,15.8,40,5,SP
O127123,2025-09-08,Eletrônicos,321.77,207.11,1,Cartão de Crédito,5,Não,321.77,11.05,31,4,SP
O127197,2025-09-08,Brinquedos,79.99,30.69,1,Cartão de Crédito,5,Não,79.99,10.37,18,3,MT
O127212,2025-09-08,Beleza,58.77,27.44,1,Pix,8,Não,52.89,6.18,51,5,ES
O129218,2025-09-08,Alimentos,14.36,8.45,1,Boleto,2,Não,14.36,6.15,24,4,SP
O129408,2025-09-08,Vestuário,34.9,17.24,2,Pix,3,Não,62.82,9.48,39,4,PR
O131707,2025-09-08,Alimentos,8.39,3.63,2,Cartão de Crédito,7,Não,15.94,3.59,37,5,PE
O132015,2025-09-08,Moradia,44.09,23.33,1,Pix,2,Não,44.09,7.33,24,5,MG
O132632,2025-09-08,Alimentos,95.8,37.65,1,Cartão de Débito,4,Não,95.8,6.92,41,3,MG
O132708,2025-09-08,Brinquedos,76.55,51.22,1,Pix,4,Não,76.55,8.45,26,5,SP
O132836,2025-09-08,Vestuário,82.79,43.83,1,Cartão de Débito,2,Não,70.37,11.23,33,5,SP
O100321,2025-09-07,Vestuário,133.48,53.79,2,Cartão de Débito,10,Não,266.96,8.97,24,1,PA
O101162,2025-09-07,Moradia,165.22,84.11,1,Cartão de Crédito,10,Não,165.22,8.88,27,1,PA
O102592,2025-09-07,Moradia,216.62,118.75,2,Cartão de Débito,6,Não,433.24,6.58,18,5,PR
O103122,2025-09-07,Moradia,199.03,91.84,1,Pix,3,Não,199.03,11.88,33,5,SP
O103482,2025-09-07,Brinquedos,296.51,138.6,1,Cartão de Crédito,4,Não,296.51,13.02,21,4,RJ
O103837,2025-09-07,Eletrônicos,303.87,181.07,2,Cartão de Débito,3,Não,516.58,10.61,36,5,SC
O104120,2025-09-07,Eletrônicos,175.52,62.99,1,Cartão de Crédito,12,Não,175.52,5.86,22,1,PA
O104859,2025-09-07,Moradia,447.22,162.61,4,Boleto,5,Não,1788.88,13.1,33,5,ES
O105757,2025-09-07,Alimentos,6.73,2.5,1,Cartão de Débito,12,Não,6.39,2.34,34,1,CE
O107347,2025-09-07,Vestuário,62.67,31.83,1,Cartão de Débito,4,Não,53.27,6.5,27,4,PR
O107463,2025-09-07,Moradia,909.33,583.9,1,Boleto,2,Não,909.33,10.6,38,5,SP
O107594,2025-09-07,Eletrônicos,419.44,141.11,4,Pix,4,Não,1593.87,14.92,42,3,SP
O107755,2025-09-07,Moradia,136.5,50.02,1,Boleto,10,Não,136.5,8.52,27,3,PA
O108265,2025-09-07,Alimentos,44.49,30.97,1,Cartão de Débito,5,Não,44.49,7.68,28,5,RS
O108502,2025-09-07,Moradia,76.56,31.05,1,Pix,2,Não,76.56,9.95,37,5,SP
O108546,2025-09-07,Vestuário,54.56,17.04,1,Cartão de Crédito,1,Sim,54.56,4.5,31,5,SP
O108656,2025-09-07,Moradia,147.64,86.24,2,Pix,5,Não,295.28,9.41,37,5,PR
O108887,2025-09-07,Esportes,113.7,64.07,3,Cartão de Crédito,5,Não,341.1,17.44,33,4,SP
O109259,2025-09-07,Eletrônicos,1074.17,549.11,1,Pix,4,Não,1020.46,13.08,38,4,SP
O110074,2025-09-07,Eletrônicos,504.55,243.04,1,Boleto,2,Não,428.87,8.78,48,5,MG
O112378,2025-09-07,Brinquedos,98.66,53.52,2,Cartão de Crédito,4,Não,197.32,9.67,30,5,SC
O113298,2025-09-07,Alimentos,05.01,2.46,1,Cartão de Crédito,6,Não,05.01,3.35,44,4,PR
O113662,2025-09-07,Eletrônicos,614.74,304.41,2,Pix,4,Não,1168.01,12.05,37,4,SP
O113933,2025-09-07,Alimentos,16.54,7.62,1,Cartão de Crédito,6,Não,16.54,4.66,29,4,SC
O114132,2025-09-07,Moradia,83.87,29.09,1,Pix,3,Não,83.87,7.8,31,5,SP
O116766,2025-09-07,Alimentos,97.54,45.11,1,Cartão de Débito,3,Não,97.54,4.71,50,5,SP
O116867,2025-09-07,Eletrônicos,906.43,299.38,1,Cartão de Crédito,11,Não,861.11,15.88,18,1,BA
O117276,2025-09-07,Beleza,129.26,43.95,3,Cartão de Débito,6,Não,387.78,9.81,48,3,PR
O117821,2025-09-07,Eletrônicos,1017.71,427.4,3,Cartão de Crédito,6,Não,2595.16,15.28,25,5,GO
O118080,2025-09-07,Moradia,299.02,106.67,3,Pix,6,Não,807.35,20.58,50,4,PR
O118277,2025-09-07,Eletrônicos,899.04,543.01,1,Boleto,5,Não,629.33,13.15,26,3,RS
O118700,2025-09-07,Eletrônicos,328.56,143.9,3,Pix,3,Não,985.68,9.21,22,5,SP
O118758,2025-09-07,Eletrônicos,2471.42,915.34,1,Cartão de Crédito,2,Não,2471.42,17.46,47,5,RJ
O120420,2025-09-07,Beleza,105.96,58.86,1,Pix,1,Não,90.07,11.85,24,4,SP
O120565,2025-09-07,Alimentos,98.4,37.67,1,Pix,3,Não,98.4,9.75,21,4,SP
O120893,2025-09-07,Moradia,120.71,70.5,2,Cartão de Crédito,6,Sim,229.35,11.57,35,4,RO
O122183,2025-09-07,Alimentos,30.59,16.01,1,Pix,2,Não,29.06,08.04,39,4,RJ
O122724,2025-09-07,Vestuário,13.0,5.36,1,Pix,3,Não,12.35,3.69,33,5,ES
O123069,2025-09-07,Vestuário,101.32,41.07,1,Boleto,5,Não,101.32,8.6,42,5,PR
O125374,2025-09-07,Moradia,300.29,114.95,2,Pix,9,Não,600.58,18.78,38,3,CE
O125662,2025-09-07,Beleza,15.57,9.68,1,Pix,4,Não,14.01,4.79,30,5,MG
O126102,2025-09-07,Vestuário,178.94,117.81,1,Pix,7,Não,169.99,8.52,31,3,RS
O126123,2025-09-07,Eletrônicos,250.62,80.29,1,Cartão de Débito,3,Não,250.62,14.37,51,5,MG
O126676,2025-09-07,Beleza,141.42,98.44,1,Pix,5,Sim,141.42,11.96,18,5,SP
O127301,2025-09-07,Beleza,5.13,3.57,1,Cartão de Crédito,4,Não,4.87,2.63,43,4,SC
O128532,2025-09-07,Alimentos,21.05,13.29,1,Cartão de Débito,3,Não,21.05,5.67,37,5,SP
O129389,2025-09-07,Eletrônicos,292.29,147.73,1,Cartão de Débito,3,Não,292.29,13.92,18,5,SP
O129422,2025-09-07,Eletrônicos,194.32,79.46,1,Cartão de Débito,7,Não,194.32,11.51,31,3,PR
O130174,2025-09-07,Brinquedos,56.3,24.03,1,Pix,3,Não,56.3,09.06,21,5,SP
O131655,2025-09-07,Eletrônicos,1641.92,1016.93,1,Cartão de Débito,6,Não,1641.92,12.8,35,3,PB
O132943,2025-09-07,Brinquedos,11.71,6.61,1,Cartão de Crédito,13,Não,11.71,03.09,44,1,AL
O100176,2025-09-06,Eletrônicos,1916.43,1037.02,3,Cartão de Crédito,7,Não,5174.36,14.29,20,4,MT
O100439,2025-09-06,Vestuário,46.89,30.37,1,Pix,2,Não,32.82,4.99,45,4,RJ
O101187,2025-09-06,Moradia,387.66,265.51,1,Pix,1,Não,348.89,18.86,43,5,SP
O102650,2025-09-06,Moradia,320.05,125.24,1,Pix,12,Não,288.04,8.46,33,1,MA
O103019,2025-09-06,Brinquedos,21.46,13.73,1,Cartão de Débito,2,Sim,20.39,1.81,44,5,RJ
O103276,2025-09-06,Esportes,78.23,28.84,2,Cartão de Crédito,6,Não,125.17,10.27,50,4,SE
O103896,2025-09-06,Eletrônicos,182.72,121.74,1,Pix,10,Não,182.72,7.54,24,1,AM
O104866,2025-09-06,Alimentos,64.98,23.57,2,Boleto,4,Não,129.96,5.92,36,5,GO
O105570,2025-09-06,Brinquedos,24.15,12.04,1,Cartão de Crédito,1,Não,24.15,3.89,25,4,SP
O106513,2025-09-06,Vestuário,217.3,96.66,1,Pix,3,Não,206.44,12.6,23,4,RJ
O107885,2025-09-06,Vestuário,291.45,145.75,1,Cartão de Crédito,4,Não,291.45,12.25,30,4,GO
O109154,2025-09-06,Esportes,674.71,226.33,1,Cartão de Crédito,2,Não,674.71,9.86,36,5,SP
